,idandtype,productname,company,interest_type,deposit_type,highest_rate,deposit_limit,period,monthly_interest,preference,review_counts,average_rate
449,560DEPOSIT,자유적립예금,welcome_sb,복리,자유적립,1.5,제한없음 ~ 제한없음,6개월 ~ 36개월,"
개월별 기본금리
6개월기본 1.5%우대 시 1.5%12개월기본 1.7%우대 시 1.7%24개월기본 1.9%우대 시 1.9%36개월기본 2%우대 시 2%
",없음,0,
450,561DEPOSIT,행복Together적금,kebhana,단리,자유적립,1.4,제한없음 ~ 100만원,12개월 ~ 36개월,"
개월별 기본금리
12개월기본 1.4%우대 시 1.4%24개월기본 1.5%우대 시 1.5%36개월기본 1.6%우대 시 1.6%
","최고 연0.4% 우대
 - 온라인뱅킹에서 주거래은행 약속 메시지 작성 시 연 0.3% 우대
 - 주거래우대 연 0.1% 우대
(1년제 계약기간에 한함)",0,
451,562DEPOSIT,행복Together적금,kebhana,단리,정기적립,1.5,제한없음 ~ 500만원,12개월 ~ 36개월,"
개월별 기본금리
12개월기본 1.5%우대 시 1.5%24개월기본 1.6%우대 시 1.6%36개월기본 1.7%우대 시 1.7%
","최고 연0.4% 우대
 - 온라인뱅킹에서 주거래은행 약속 메시지 작성 시 연 0.3% 우대
 - 주거래우대 연 0.1% 우대
(1년제 계약기간에 한함)",0,
452,563DEPOSIT,통합 하나 멤버스 주거래 우대 적금,kebhana,단리,자유적립,1.6,제한없음 ~ 50만원,12개월 고정,"
개월별 기본금리
12개월기본 1.6%우대 시 1.6%
","최고 연1.1% 우대
  - 주거래통장 보유 우대 연0.1%
  - 연금/급여 주거래 우대 최고 연0.2%
  - 카드 결제 주거래 우대 최고 연0.2%
  - 하나 멤버스 우대 최고 연0.3%
  - ISA 가입 연0.3%",0,
453,564DEPOSIT,하나 나이스 샷 골프적금(구 하나은행),kebhana,단리,자유적립,1.0,"1만원 ~ 1,000만원",12개월 ~ 36개월,"
개월별 기본금리
12개월기본 1%우대 시 1%24개월기본 1.1%우대 시 1.1%36개월기본 1.2%우대 시 1.2%
","최고 연0.4% 우대
 - 라운딩우대: 라운딩 사진 제시 연0.2%
 - 도전타수우대: 도전 타수 이내 도달 연0.2%
 - 온라인우대: 온라인채널 가입 연0.2%
 - 골프사랑우대: 하나외환LPGA 입장권 제시 연0.2%",0,
454,565DEPOSIT,하나 나이스 샷 골프적금(구 하나은행),kebhana,단리,정기적립,1.1,제한없음 ~ 제한없음,12개월 ~ 36개월,"
개월별 기본금리
12개월기본 1.1%우대 시 1.1%24개월기본 1.2%우대 시 1.2%36개월기본 1.3%우대 시 1.3%
","최고 연0.4% 우대
 - 라운딩우대: 라운딩 사진 제시 연0.2%
 - 도전타수우대: 도전 타수 이내 도달 연0.2%
 - 온라인우대: 온라인채널 가입 연0.2%
 - 골프사랑우대: 하나외환LPGA 입장권 제시 연0.2%",0,
455,566DEPOSIT,외환 나이스 샷 골프적금(구 외환은행),kebhana,단리,자유적립,1.2,"제한없음 ~ 1,000만원",12개월 ~ 36개월,"
개월별 기본금리
12개월기본 1.2%우대 시 1.2%24개월기본 1.5%우대 시 1.5%36개월기본 1.7%우대 시 1.7%
","최고 연1.0% 우대
 - 새 손님 우대 연0.5%
 - 단체 손님 우대 연0.3%
 - 장기 주거래 손님 우대 최대 연0.3%
 - 두리하나 우대 연0.1%",0,
456,567DEPOSIT,외환 나이스 샷 골프적금(구 외환은행),kebhana,단리,정기적립,1.3,제한없음 ~ 제한없음,12개월 ~ 36개월,"
개월별 기본금리
12개월기본 1.3%우대 시 1.3%24개월기본 1.6%우대 시 1.6%36개월기본 1.8%우대 시 1.8%
","최고 연1.0% 우대
 - 새 손님 우대 연0.5%
 - 단체 손님 우대 연0.3%
 - 장기 주거래 손님 우대 최대 연0.3%
 - 두리하나 우대 연0.1%",0,
457,568DEPOSIT,신한 롯데백화점  LOVELY 적금,shinhan,단리,자유적립,1.5,제한없음 ~ 30만원,6개월 고정,"
개월별 기본금리
6개월기본 1.5%우대 시 1.5%
","※가산금리 최고 0.1%
-신한카드 결제계좌 당행 지정시  0.10%",0,
458,569DEPOSIT,자유적립예금,welcome_sb,단리,자유적립,1.5,제한없음 ~ 제한없음,6개월 ~ 36개월,"
개월별 기본금리
6개월기본 1.5%우대 시 1.5%12개월기본 1.7%우대 시 1.7%24개월기본 1.9%우대 시 1.9%36개월기본 2%우대 시 2%
",없음,0,
459,56DEPOSIT,KB내맘대로적금 (정액적립식),kb,단리,정기적립,2.0,1만원 ~ 제한없음,6개월 ~ 36개월,"
개월별 기본금리
6개월기본 1.1%우대 시 2%12개월기본 1.5%우대 시 2.4%24개월기본 1.6%우대 시 2.5%36개월기본 1.8%우대 시 2.7%
","※우대이율 최고:연0.6%p
-급여이체:0.1
-카드결제계좌:0.1
-자동이체저축:0.1
-아파트관리비이체:0.1
-KB스타뱅킹 이체:0.1
-장기거래:0.1
-첫 거래:0.1
-주택청약종합저축:0.1
-소중한날:0.1
(단위:%p)",0,
460,570DEPOSIT,직장인 정기적금,choeun_sb,단리,정기적립,2.6,제한없음 ~ 제한없음,6개월 ~ 36개월,"
개월별 기본금리
6개월기본 2.6%우대 시 2.6%12개월기본 2.8%우대 시 2.8%24개월기본 3%우대 시 3%36개월기본 3%우대 시 3%
","- 직장인(증빙서류 제출가능자-명함, 사원카드등), e-보통예금 및 인터넷뱅킹 가입 또는 체크카드 가입",0,
461,571DEPOSIT,e-정기적금,choeun_sb,단리,정기적립,2.5,제한없음 ~ 제한없음,6개월 ~ 36개월,"
개월별 기본금리
6개월기본 2.5%우대 시 2.5%12개월기본 2.7%우대 시 2.7%24개월기본 2.9%우대 시 2.9%36개월기본 2.9%우대 시 2.9%
",없음,0,
462,572DEPOSIT,우리스마트폰적금,woori,단리,자유적립,1.8,제한없음 ~ 제한없음,12개월 고정,"
개월별 기본금리
12개월기본 1.8%우대 시 1.8%
",- 우리 꿈통장으로 연결하여 가입 시 연 0.2%p 우대금리 적용,0,
463,573DEPOSIT,수요일이 즐거운 iTouch 문화적금,woori,단리,자유적립,1.5,제한없음 ~ 제한없음,12개월 고정,"
개월별 기본금리
12개월기본 1.5%우대 시 1.5%
",- 매주 수요일 입금 금액 연 0.3%p 적용,0,
464,574DEPOSIT,"스마트
금연적금",woori,단리,자유적립,1.4,제한없음 ~ 제한없음,6개월 ~ 12개월,"
개월별 기본금리
6개월기본 1.4%우대 시 1.4%12개월기본 1.5%우대 시 1.5%
","- 스마트폰 Push 器能과 연동한 간편입금 서비스 제공 
- 로그인 및 공인인증서 없이 Push 알림 클릭만으로 저축 가능",0,
465,575DEPOSIT,신한 헬스플러스 적금,shinhan,단리,정기적립,1.7,제한없음 ~ 제한없음,12개월 고정,"
개월별 기본금리
12개월기본 1.7%우대 시 1.7%
","※가산금리 최고 0.3%
-신한카드 결제실적 월 10만원 이상 5회 이상 이용시 0.1%
-비대면채널 또는 모바일통장으로 신규시 0.1%
-목표 건강관리마일리지 달성 시 0.1%",0,
466,576DEPOSIT,Welcome 체크플러스2 e정기적금,welcome_sb,단리,정기적립,4.1,10만원 ~ 50만원,12개월 ~ 24개월,"
개월별 기본금리
12개월기본 2.7%우대 시 4.1%24개월기본 2.9%우대 시 4.3%
","* 최고우대금리 : 1.0%
 - 당행 체크카드 월평균 이용실적(20만원이상 50만원미만) : 0.5%
 - 당행 체크카드 월평균 이용실적(20만원이상 50만원미만) : 1.0%
 ※ 단위는 연%p
 - 인터넷 뱅킹 전용 상품
 -가입대상: 체크카드 발급 고객 대상",0,
467,577DEPOSIT,Welcome 체크플러스2 m정기적금,welcome_sb,단리,정기적립,4.3,10만원 ~ 50만원,12개월 ~ 24개월,"
개월별 기본금리
12개월기본 2.9%우대 시 4.3%24개월기본 3.1%우대 시 4.5%
","* 최고우대금리 : 1.0%
 - 당행 체크카드 월평균 이용실적(20만원이상 50만원미만) : 0.5%
 - 당행 체크카드 월평균 이용실적(20만원이상 50만원미만) : 1.0%
 ※ 단위는 연%p
 - 모바일뱅킹 전용 상품
 - 가입대상: 체크카드 발급 고객 대상",1,4.0
468,578DEPOSIT,Welcome 체크플러스2 정기적금,welcome_sb,단리,정기적립,3.9,10만원 ~ 50만원,12개월 ~ 24개월,"
개월별 기본금리
12개월기본 2.5%우대 시 3.9%24개월기본 2.7%우대 시 4.1%
","* 최고우대금리 : 1.0%
 - 당행 체크카드 월평균 이용실적(20만원이상 50만원미만) : 0.5%
 - 당행 체크카드 월평균 이용실적(20만원이상 50만원미만) : 1.0%
 ※ 단위는 연%p
 -가입대상: 체크카드 발급 고객 대상",0,
469,579DEPOSIT,정기적금,ts_sb,단리,정기적립,2.4,제한없음 ~ 제한없음,6개월 ~ 36개월,"
개월별 기본금리
6개월기본 2.4%우대 시 2.4%12개월기본 2.8%우대 시 2.8%24개월기본 2.9%우대 시 2.9%36개월기본 2.9%우대 시 2.9%
",- 인터넷뱅킹 정기예금 가입 : 연 0.1%,0,
470,57DEPOSIT,e-파워자유적금,kb,단리,자유적립,1.7,1만원 ~ 500만원,6개월 ~ 36개월,"
개월별 기본금리
6개월기본 1%우대 시 1.7%12개월기본 1.3%우대 시 2%24개월기본 1.5%우대 시 2.2%36개월기본 1.7%우대 시 2.4%
","※우대이율 최고 연0.3%p
- KB star*t통장 or KB樂Star통장
 or KB나라사랑우대통장 가입자 
 우대이율 : 연0.3
(단위:%p)",3,3.7
471,580DEPOSIT,e-정기적금,smart_sb,단리,자유적립,1.6,제한없음 ~ 제한없음,6개월 ~ 36개월,"
개월별 기본금리
6개월기본 1.6%우대 시 1.6%12개월기본 2.1%우대 시 2.1%24개월기본 2.2%우대 시 2.2%36개월기본 2.3%우대 시 2.3%
",없음,0,
472,581DEPOSIT,e-정기적금,smart_sb,단리,정기적립,2.6,제한없음 ~ 제한없음,6개월 ~ 36개월,"
개월별 기본금리
6개월기본 2.6%우대 시 2.6%12개월기본 2.9%우대 시 2.9%24개월기본 3%우대 시 3%36개월기본 3.1%우대 시 3.1%
",없음,0,
473,582DEPOSIT,내가디자인하는적금,seram_sb,단리,정기적립,3.0,제한없음 ~ 제한없음,12개월 ~ 36개월,"
개월별 기본금리
12개월기본 3%우대 시 3%24개월기본 3%우대 시 3%36개월기본 3%우대 시 3%
","- 해당 적용조건에 따른 우대금리 제공[0.1% ~ 0.5%]
 - 만기재예탁,정기예금이용고객,장기거래고객,첫적금가입고객,보통예금자동이체신청,체크카드이용,다자녀가족,60세이상,장애인복지카드,직장인,매월불입금액50만원 이상,헌혈증소지,임산부,계약기간24개월, 36개월이상,2인이상동반가입,장기기증서약",0,
474,583DEPOSIT,정기적금,sj_sb,단리,자유적립,1.7,제한없음 ~ 제한없음,6개월 ~ 24개월,"
개월별 기본금리
6개월기본 1.7%우대 시 1.7%12개월기본 2.2%우대 시 2.2%24개월기본 2.2%우대 시 2.2%
","- 인터넷뱅킹, 모바일뱅킹 가입시 연 0.1% 우대금리 적용",0,
475,584DEPOSIT,위비꿀모아정기적금,woori,단리,정기적립,1.6,제한없음 ~ 제한없음,12개월 ~ 24개월,"
개월별 기본금리
12개월기본 1.6%우대 시 1.6%24개월기본 1.65%우대 시 1.65%
","위비멤버스 서비스 가입 고객인 경우 적립액에 대하여 최대 1%의 위비꿀머니 적립
1. 중간적립 : 가입기간 중 매월 신규 적립액의          0.5%P
 2. 만기적립 : 만기해지 시 전체 누적 적립액의 0.5%P",1,5.0
476,585DEPOSIT,톡톡쇼핑적금,woori,단리,자유적립,1.5,제한없음 ~ 제한없음,6개월 고정,"
개월별 기본금리
6개월기본 1.5%우대 시 1.5%
","최고 연 0.8%p
1. 금리우대쿠폰 연0.2%p
2. 위비톡 앱 설치 후 바로가입 메뉴 신규 연0.2%p 
3. 우리카드결제실적 3개월 이상 보유 연0.2%p
4. 위비톡 매월 10회 이상 메시지 보내기 연 0.2%P",0,
477,586DEPOSIT,플러스정기적금,samil_sb,단리,자유적립,1.6,제한없음 ~ 제한없음,6개월 ~ 36개월,"
개월별 기본금리
6개월기본 1.6%우대 시 1.6%12개월기본 2.2%우대 시 2.2%24개월기본 2.2%우대 시 2.2%36개월기본 2.2%우대 시 2.2%
",- 만기 해지금을 정기예금으로 예치할 경우 연 0.3%우대금리 적용(정액정립식만 해당),0,
478,587DEPOSIT,플러스정기적금,samil_sb,단리,정기적립,2.7,제한없음 ~ 제한없음,6개월 ~ 36개월,"
개월별 기본금리
6개월기본 2.7%우대 시 2.7%12개월기본 2.7%우대 시 2.7%24개월기본 2.7%우대 시 2.7%36개월기본 2.7%우대 시 2.7%
",- 만기 해지금을 정기예금으로 예치할 경우 연 0.3%우대금리 적용(정액정립식만 해당),0,
479,588DEPOSIT,신한 청춘드림(DREAM) 적금(자유적립식),shinhan,단리,자유적립,1.3,제한없음 ~ 제한없음,36개월 고정,"
개월별 기본금리
36개월기본 1.3%우대 시 1.3%
","※가산금리 최고 연 1.7%
-첫거래 우대 0.8%
-신한FAN클럽 가입실적 및 신한카드 결제 실적 0.3%
-휴대폰요금 자동이체실적 5개월이상 0.2%
-청약상품 만기유지 0.2%, -비대면채널 신규 0.2%",0,
480,589DEPOSIT,33올빼미적금,seram_sb,단리,정기적립,3.3,제한없음 ~ 제한없음,12개월 ~ 36개월,"
개월별 기본금리
12개월기본 3.3%우대 시 3.3%24개월기본 3.3%우대 시 3.3%36개월기본 3.3%우대 시 3.3%
","- 분당지점 야간창구 이용 고객
 - 매주 월요일 18 ~ 21시
 - 분당지점 대표번호 : 031.703.6781",0,
481,58DEPOSIT,KB골든라이프연금우대적금,kb,단리,자유적립,1.9,1만원 ~ 300만원,12개월 고정,"
개월별 기본금리
12개월기본 1.6%우대 시 1.9%
","""1. 연금이체우대이율 연0.2%p
- 신규일(재예치일)로부터 3개월이 경과한 날이 속한 달까지 「KB★Story통장」「KB연금우대통장」「KB국민연금安心통장」「KB골든라이프연금우대통장」으로 “연금수령실적” 이 있는 경우(1년간 제공)
2. 재예치 우대이율 연 0.1%p
- 1년 단위로 재예치시 제공""

",0,
482,590DEPOSIT,정기적금,o2_sb,단리,자유적립,1.6,제한없음 ~ 제한없음,6개월 ~ 36개월,"
개월별 기본금리
6개월기본 1.6%우대 시 1.6%12개월기본 2.2%우대 시 2.2%24개월기본 2.2%우대 시 2.2%36개월기본 2.2%우대 시 2.2%
","- E-정기적금(인터넷가입)시 연 0.05% 우대금리 (단, 1년 이상 시 적용)",0,
483,591DEPOSIT,정기적금,daea_sb,복리,정기적립,2.0,제한없음 ~ 제한없음,12개월 ~ 36개월,"
개월별 기본금리
12개월기본 2%우대 시 2%24개월기본 2%우대 시 2%36개월기본 2%우대 시 2%
",없음,0,
484,592DEPOSIT,OK끼리끼리 정기적금,ok_sb,단리,정기적립,2.5,제한없음 ~ 제한없음,12개월 고정,"
개월별 기본금리
12개월기본 2.5%우대 시 2.5%
","- 2인 우대 : 연 0.2%
 - 3~4인 우대 : 연 0.3%
 - 5인이상 우대 : 연 0.5%",0,
485,593DEPOSIT,OK VIP 정기적금,ok_sb,단리,정기적립,2.5,제한없음 ~ 제한없음,12개월 고정,"
개월별 기본금리
12개월기본 2.5%우대 시 2.5%
","- 1만원이상~20만원미만 : 연 2.4%
 - 20만원이상~30만원미만 : 연 1.5%
 - 30만원이상~50만원미만 : 연 0.9% (방카슈랑스 가입고객에 한해 1건당 1계좌 가입 가능)",0,
486,594DEPOSIT,e-정기적금,ok_sb,단리,정기적립,1.6,제한없음 ~ 제한없음,6개월 ~ 36개월,"
개월별 기본금리
6개월기본 1.6%우대 시 1.6%12개월기본 2.6%우대 시 2.6%24개월기본 2.6%우대 시 2.6%36개월기본 2.8%우대 시 2.8%
","- 인터넷,스마트폰 우대 : 연 0.1%",0,
487,595DEPOSIT,KB국민프리미엄적금(정액적립식),kb,단리,정기적립,1.9,1만원 ~ 300만원,12개월 ~ 36개월,"
개월별 기본금리
12개월기본 1%우대 시 1.9%24개월기본 1.3%우대 시 2.3%36개월기본 1.4%우대 시 2.6%
","""※ 단체가입, 나라사랑, 쿠폰 우대이율은 중복 적용되지 않음
① 단체가입 우대이율 : 최초 신규일에 대상고객이 5인 이상 가입 시에만 적용 (※영업점 신규 시 적용)(12개월이상~24개월미만        0.6, 24개월이상~36개월미만        0.7, 36개월 0.9)
* 대상고객 : 영업점에서 선정한 우대대상 업체(기관)주) 소속 직원
주) 법인, 개인사업자 또는 임의단체번호 있는 임의단체 대상 (※ 계모임, 동호회 등 순수 개인모임은 제외)
* 확인서류 : 명함, 사원증, 건강보험증, 근로소득원천징수영수증, 재직증명서, 가입대상자 사업주확인서(별도 양식) 등
② 나라사랑 우대이율 (※영업점 신규 시 적용)(12개월이상~24개월미만        0.6, 24개월이상~36개월미만        0.7, 36개월 0.9)
* 대상고객 : 병역명문가, 현역군인, 입영대상자, 태권도 단(품)증 소지고객
* 확인서류 : 병역명문가증, 장교/부사관 신분증, 부대장 확인서, 입영통지서, 국기원 발행 태권도 단(품)증 등
③ 쿠폰우대 우대이율 (※ 신규 시 적용)(12개월이상~24개월미만        0.6, 24개월이상~36개월미만        0.7, 36개월 0.9)
* 대상고객 : 본부에서 선정하여 이메일을 통해 일괄 발송한 금리우대쿠폰을 소지한 고객
* 적용방법 : 쿠폰 유효기간(3개월) 내 신규 가입 가능
④ 교차거래 우대이율(0.3%)
* 대상고객 : 신규일로부터 3개월이 경과한 날이 속한 달에 급여이체실적이 있는 계좌 또는 신규일로부터 3개월이 경과한 날이 속한 달에 30만원 이상의 KB국민카드 매입실적이 있는 계좌""",1,3.0
488,596DEPOSIT,우리희망드림적금,woori,단리,자유적립,2.0,제한없음 ~ 제한없음,12개월 고정,"
개월별 기본금리
12개월기본 2%우대 시 2%
",만기해지 시 연 2%p 우대이율 적용,0,
489,597DEPOSIT,우리희망드림적금,woori,단리,정기적립,2.0,제한없음 ~ 제한없음,12개월 고정,"
개월별 기본금리
12개월기본 2%우대 시 2%
",만기해지 시 연 2%p 우대이율 적용,0,
490,598DEPOSIT,SC행복적금,sc,단리,정기적립,3.5,제한없음 ~ 제한없음,12개월 고정,"
개월별 기본금리
12개월기본 3.5%우대 시 3.5%
","만기 시점을 기준으로 SC제일은행 입출금통장을 출금 계좌로 하여 
SC행복적금으로 자동이체 5회 이상 실적이 있는 경우",0,
491,599DEPOSIT,DGB희망더하기적금,dgb,단리,정기적립,3.0,제한없음 ~ 제한없음,12개월 고정,"
개월별 기본금리
12개월기본 3%우대 시 3%
","* 최고우대금리 : 2.0%
 - 자동이체 우대 : 2.0%

※ 단위는 연%p",0,
492,59DEPOSIT,KB국군희망준비적금,kb,단리,자유적립,4.7,제한없음 ~ 10만원,6개월 ~ 24개월,"
개월별 기본금리
6개월기본 4.4%우대 시 4.7%12개월기본 5.4%우대 시 5.7%24개월기본 5.5%우대 시 5.8%
","""급여이체
우대이율(0.3%p)
 : 이 적금의 신규일로부터 3개월 이내에 1회 이상의 급여이체실적이
있는 고객의 계좌에 적용""
",0,
493,600DEPOSIT,DGB여(女)러분적금,dgb,단리,정기적립,1.16,제한없음 ~ 제한없음,12개월 ~ 36개월,"
개월별 기본금리
12개월기본 1.16%우대 시 1.16%24개월기본 1.28%우대 시 1.28%36개월기본 1.4%우대 시 1.4%
","* 최고우대금리 : 0.5%
 - 거래실적 우대 : 0.2%
 - 힐링 우대 : 0.2%
 - 상품 소개 우대 : 0.1%

※ 단위는 연%p",0,
494,601DEPOSIT,청춘희망적금,dgb,단리,정기적립,1.02,제한없음 ~ 제한없음,6개월 ~ 36개월,"
개월별 기본금리
6개월기본 1.02%우대 시 1.02%12개월기본 1.26%우대 시 1.26%24개월기본 1.28%우대 시 1.28%36개월기본 1.3%우대 시 1.3%
","* 최고우대금리 : 0.5%
 - 신규시 주택청약상품 보유 우대 : 0.1%
 - 신용카드 실적 우대 : 0.1%
 - 만기시 목표 불입액 달성 우대 : 0.1%
 - 상품 소개 우대: 0.2%

※ 단위는 연%p",0,
495,602DEPOSIT,BNK희망가꾸기적금,bnkbs,단리,자유적립,2.0,제한없음 ~ 제한없음,12개월 ~ 36개월,"
개월별 기본금리
12개월기본 2%우대 시 2%24개월기본 2.2%우대 시 2.2%36개월기본 2.4%우대 시 2.4%
","-월간불입한도 금액내에서 
우대이율 2.5%우대",0,
496,603DEPOSIT,MySUM포인트적금,bnkbs,단리,자유적립,1.8,제한없음 ~ 제한없음,12개월 고정,"
개월별 기본금리
12개월기본 1.8%우대 시 1.8%
","- 모바일 통장 자동이체 8회차 이상 불입 시: 0.10%
- 10만원 이상 스윙서비스 입금건수 6회 이상: 0.1%
- 모바일 통장 기중평잔 30만원 이상: 0.10%
- 당행 신용카드 및 롯데카드 결제 실적 우대: 0.10%
- 계좌이동 건수 2건 이상: 0.10%",0,
497,604DEPOSIT,파워월복리적금,gwangju,복리,정기적립,1.3,제한없음 ~ 제한없음,12개월 ~ 36개월,"
개월별 기본금리
12개월기본 1.3%우대 시 1.3%24개월기본 1.4%우대 시 1.4%36개월기본 1.5%우대 시 1.5%
","*최고 우대금리 : 0.7%
1.요구불 평잔 우대 : 0.2%
2. 자녀명의「KJB아이사랑월복리 적금」가입 실적 : 0.1%
3. 신용카드실적우대: 최대 0.2%
4. 급여통장보유: 0.1%
5. 가맹점 결제계좌우대: 0.1%",0,
498,605DEPOSIT,스마트모아Dream정기적금,gwangju,단리,자유적립,1.1,제한없음 ~ 제한없음,6개월 ~ 36개월,"
개월별 기본금리
6개월기본 1.1%우대 시 1.1%12개월기본 1.4%우대 시 1.4%24개월기본 1.5%우대 시 1.5%36개월기본 1.6%우대 시 1.6%
",- 스마트뱅킹 1년제 정액적립식 가입 : 0.1%우대,0,
499,606DEPOSIT,꿈모아매일적금,gwangju,단리,정기적립,1.2,제한없음 ~ 제한없음,6개월 ~ 36개월,"
개월별 기본금리
6개월기본 1.2%우대 시 1.2%12개월기본 1.5%우대 시 1.5%24개월기본 1.6%우대 시 1.6%36개월기본 1.7%우대 시 1.7%
","*최고 우대금리 : 0.4%
1.「목표설정」우대금리 : 0.1%
2.「우등상」 우대금리 : 0.1%
3.「친구소개」우대금리 : 최대 0.2%",0,
500,607DEPOSIT,쏠쏠한마이쿨적금,gwangju,단리,정기적립,1.9,제한없음 ~ 제한없음,12개월 고정,"
개월별 기본금리
12개월기본 1.9%우대 시 1.9%
",해당사항없음,0,
501,608DEPOSIT,꿈모아매일적금,gwangju,단리,자유적립,1.2,제한없음 ~ 제한없음,6개월 ~ 36개월,"
개월별 기본금리
6개월기본 1.2%우대 시 1.2%12개월기본 1.5%우대 시 1.5%24개월기본 1.6%우대 시 1.6%36개월기본 1.7%우대 시 1.7%
","*최고 우대금리 : 0.4%
1.목표설정우대금리 : 0.1%
2. 우등상 우대금리 : 0.1%
3. 친구소개우대금리 : 최대 0.2%",0,
502,609DEPOSIT,제주Tops허니문통장,jeju,단리,정기적립,1.5,제한없음 ~ 제한없음,12개월 ~ 36개월,"
개월별 기본금리
12개월기본 1.5%우대 시 1.5%24개월기본 1.6%우대 시 1.6%36개월기본 1.7%우대 시 1.7%
","- 교차우대 최고 연 0.6%p
①자동대체 등록 거래 0.1%p
②적금 계약기간 중 자녀 출산시 0.2%p
③적금 계약기간 중 결혼시 0.3%p
- 인터넷뱅킹 등 비대면매체 신규 우대 연 0.1%p",0,
503,60DEPOSIT,KB국민첫재테크적금,kb,복리,자유적립,2.7,1만원 ~ 30만원,36개월 고정,"
개월별 기본금리
36개월기본 2.2%우대 시 2.7%
","""KB첫거래 우대이율: 가입시점에 KB국민은행 적립식예금 및 거치식예금(청약관련상품, 장기주택마련저축, 재형저축은 제외) 미보유 고객 연0.2%pKB스타뱅킹 우대이율: 계약기간동안 KB스타뱅킹(또는 KB모바일뱅킹)을 통한 이체거래㈜¹ 실적이 있는 고객 연0.1%p목돈마련 우대이율: 만기시점에 일정금액 이상 저축한 계좌 5백 만원 이상: 연0.1%p 
1천 만원 이상: 연0.2%p""
",7,4.0
504,610DEPOSIT,새희망키움적금,jeju,단리,정기적립,3.0,제한없음 ~ 제한없음,12개월 고정,"
개월별 기본금리
12개월기본 3%우대 시 3%
","- 교차우대 최고 연 3.0%p
①만기해지시 2.5%p
②유동성계좌에서 자동이체 등록시 0.5%p",0,
505,611DEPOSIT,월복리솔솔적금,bnkgn,복리,정기적립,1.55,제한없음 ~ 제한없음,24개월 ~ 36개월,"
개월별 기본금리
24개월기본 1.55%우대 시 1.55%36개월기본 1.75%우대 시 1.75%
","※아래 조건 충족시 최대 0.20% 우대금리 지급
▷예금 가입전 당행 거래가족수에 따른 우대금리 최고 0.10%, 직장인우대통장 가입 0.05%, 자녀명의로 아이드림자유적금 가입한 경우, 공과금자동이체 등록고객 각 0.05%
▷예금 가입전 3개월 이내 당행 신용(체크)카드 10만원 이상 이용시 0.05%",0,
506,612DEPOSIT,희망모아적금,bnkgn,단리,자유적립,1.5,제한없음 ~ 제한없음,12개월 고정,"
개월별 기본금리
12개월기본 1.5%우대 시 1.5%
","▷정기적립식의 경우, 이 예금을 전회차 납입하고 만기해지하는 경우 우대금리 3.00%
▷자유적립식의 경우 만기해지시 우대금리 2.00%
※특별중도해지 우대 : 가입후 6개월 이상 경과한 계좌로써, 가입기간 중 주택구입(임차), 결혼, 출산, 입원, 입학시",0,
507,613DEPOSIT,희망모아적금,bnkgn,단리,정기적립,1.5,제한없음 ~ 제한없음,12개월 고정,"
개월별 기본금리
12개월기본 1.5%우대 시 1.5%
","▷정기적립식의 경우, 이 예금을 전회차 납입하고 만기해지하는 경우 우대금리 3.00%
▷자유적립식의 경우 만기해지시 우대금리 2.00%
※특별중도해지 우대 : 가입후 6개월 이상 경과한 계좌로써, 가입기간 중 주택구입(임차), 결혼, 출산, 입원, 입학시",0,
508,614DEPOSIT,탄탄성공적금,bnkgn,단리,정기적립,1.3,제한없음 ~ 제한없음,12개월 ~ 36개월,"
개월별 기본금리
12개월기본 1.3%우대 시 1.3%24개월기본 1.5%우대 시 1.5%36개월기본 1.7%우대 시 1.7%
","▷입출금예금평잔에 따른 우대금리 0.10%~0.15%
▷퇴직연금가입시 우대금리 0.05%
▷월부금 2/3 이상 자동이체 입금시 우대금리 0.05%
▷이노비즈(Inno-Biz) 선정 사업자 우대금리 0.05%",0,
509,615DEPOSIT,아이드림자유적금,bnkgn,단리,자유적립,1.1,제한없음 ~ 제한없음,12개월 ~ 36개월,"
개월별 기본금리
12개월기본 1.1%우대 시 1.1%24개월기본 1.2%우대 시 1.2%36개월기본 1.3%우대 시 1.3%
","▷출생년도 입금분 0.05%
▷입학년도 입금분(유치원, 초,중,고) 0.05%
▷설날, 추석, 생일 이후 5영업일 이내 입금분 0.05%
▷자동재예치 우대 0.05%
▷창구거래 외 입금 0.05%
▷예금주 또는 부모가 경남(울산)사랑통장 주거래고객인 경우 0.05%",0,
510,616DEPOSIT,상조적금,bnkgn,단리,자유적립,1.3,제한없음 ~ 제한없음,12개월 ~ 24개월,"
개월별 기본금리
12개월기본 1.3%우대 시 1.3%24개월기본 1.4%우대 시 1.4%
","▷차상위계층 이하 65세 이상 고령자가 가입할 경우 연 1.00%의 우대금리 지급
▷계약기간 중 본인, 배우자, 본인 및 배우자의 직계존비속 상사시 연 0.10% 우대금리",0,
511,617DEPOSIT,캠퍼스드림적금,bnkgn,단리,정기적립,1.45,제한없음 ~ 제한없음,36개월 고정,"
개월별 기본금리
36개월기본 1.45%우대 시 1.45%
",▷전회차를 납입하고 만기해지하는 경우 우대금리 1.50%,0,
